module,os,description,deprecated
AL,IRIX,Constants used with the al module.,1
BaseHTTPServer,,Basic HTTP server (base class for SimpleHTTPServer and CGIHTTPServer).,
Bastion,,Providing restricted access to objects.,1
CGIHTTPServer,,This module provides a request handler for HTTP servers which can run CGI scripts.,
Carbon.AE,Mac,Interface to the Apple Events toolbox.,1
Carbon.AH,Mac,Interface to the Apple Help manager.,1
Carbon.App,Mac,Interface to the Appearance Manager.,1
Carbon.Appearance,Mac,Constant definitions for the interface to the Appearance Manager.,1
Carbon.CF,Mac,Interface to the Core Foundation.,1
Carbon.CG,Mac,Interface to Core Graphics.,1
Carbon.CarbonEvents,Mac,Constants for the interface to the Carbon Event Manager.,1
Carbon.CarbonEvt,Mac,Interface to the Carbon Event Manager.,1
Carbon.Cm,Mac,Interface to the Component Manager.,1
Carbon.Components,Mac,Constants for the interface to the Component Manager.,1
Carbon.ControlAccessor,Mac,Accessor functions for the interface to the Control Manager.,1
Carbon.Controls,Mac,Constants for the interface to the Control Manager.,1
Carbon.CoreFounation,Mac,Constants for the interface to CoreFoundation.,1
Carbon.CoreGraphics,Mac,Constants for the interface to CoreGraphics.,1
Carbon.Ctl,Mac,Interface to the Control Manager.,1
Carbon.Dialogs,Mac,Constants for the interface to the Dialog Manager.,1
Carbon.Dlg,Mac,Interface to the Dialog Manager.,1
Carbon.Drag,Mac,Interface to the Drag and Drop Manager.,1
Carbon.Dragconst,Mac,Constants for the interface to the Drag and Drop Manager.,1
Carbon.Events,Mac,Constants for the interface to the classic Event Manager.,1
Carbon.Evt,Mac,Interface to the classic Event Manager.,1
Carbon.File,Mac,Interface to the File Manager.,1
Carbon.Files,Mac,Constants for the interface to the File Manager.,1
Carbon.Fm,Mac,Interface to the Font Manager.,1
Carbon.Folder,Mac,Interface to the Folder Manager.,1
Carbon.Folders,Mac,Constants for the interface to the Folder Manager.,1
Carbon.Fonts,Mac,Constants for the interface to the Font Manager.,1
Carbon.Help,Mac,Interface to the Carbon Help Manager.,1
Carbon.IBCarbon,Mac,Interface to the Carbon InterfaceBuilder support libraries.,1
Carbon.IBCarbonRuntime,Mac,Constants for the interface to the Carbon InterfaceBuilder support libraries.,1
Carbon.Icns,Mac,Interface to the Carbon Icon Manager,1
Carbon.Icons,Mac,Constants for the interface to the Carbon Icon Manager,1
Carbon.Launch,Mac,Interface to the Carbon Launch Services.,1
Carbon.LaunchServices,Mac,Constants for the interface to the Carbon Launch Services.,1
Carbon.List,Mac,Interface to the List Manager.,1
Carbon.Lists,Mac,Constants for the interface to the List Manager.,1
Carbon.MacHelp,Mac,Constants for the interface to the Carbon Help Manager.,1
Carbon.MediaDescr,Mac,Parsers and generators for Quicktime Media descriptors,1
Carbon.Menu,Mac,Interface to the Menu Manager.,1
Carbon.Menus,Mac,Constants for the interface to the Menu Manager.,1
Carbon.Mlte,Mac,Interface to the MultiLingual Text Editor.,1
Carbon.OSA,Mac,Interface to the Carbon OSA Library.,1
Carbon.OSAconst,Mac,Constants for the interface to the Carbon OSA Library.,1
Carbon.QDOffscreen,Mac,Constants for the interface to the QuickDraw Offscreen APIs.,1
Carbon.Qd,Mac,Interface to the QuickDraw toolbox.,1
Carbon.Qdoffs,Mac,Interface to the QuickDraw Offscreen APIs.,1
Carbon.Qt,Mac,Interface to the QuickTime toolbox.,1
Carbon.QuickDraw,Mac,Constants for the interface to the QuickDraw toolbox.,1
Carbon.QuickTime,Mac,Constants for the interface to the QuickTime toolbox.,1
Carbon.Res,Mac,Interface to the Resource Manager and Handles.,1
Carbon.Resources,Mac,Constants for the interface to the Resource Manager and Handles.,1
Carbon.Scrap,Mac,The Scrap Manager provides basic services for implementing cut & paste and clipboard operations.,1
Carbon.Snd,Mac,Interface to the Sound Manager.,1
Carbon.Sound,Mac,Constants for the interface to the Sound Manager.,1
Carbon.TE,Mac,Interface to TextEdit.,1
Carbon.TextEdit,Mac,Constants for the interface to TextEdit.,1
Carbon.Win,Mac,Interface to the Window Manager.,1
Carbon.Windows,Mac,Constants for the interface to the Window Manager.,1
ColorPicker,Mac,Interface to the standard color selection dialog.,1
ConfigParser,,Configuration file parser.,
Cookie,,Support for HTTP state management (cookies).,
DEVICE,IRIX,Constants used with the gl module.,1
DocXMLRPCServer,,Self-documenting XML-RPC server implementation.,
EasyDialogs,Mac,Basic Macintosh dialogs.,1
FL,IRIX,Constants used with the fl module.,1
FrameWork,Mac,Interactive application framework.,1
GL,IRIX,Constants used with the gl module.,1
HTMLParser,,A simple parser that can handle HTML and XHTML.,
MacOS,Mac,Access to Mac OS-specific interpreter features.,1
MimeWriter,,Write MIME format files.,1
MiniAEFrame,Mac,"Support to act as an Open Scripting Architecture (OSA) server (""Apple Events"").",
Nav,Mac,Interface to Navigation Services.,1
PixMapWrapper,Mac,Wrapper for PixMap objects.,1
Queue,,A synchronized queue class.,
SUNAUDIODEV,SunOS,Constants for use with sunaudiodev.,1
ScrolledText,Tk,Text widget with a vertical scroll bar.,
SimpleHTTPServer,,This module provides a basic request handler for HTTP servers.,
SimpleXMLRPCServer,,Basic XML-RPC server implementation.,
SocketServer,,A framework for network servers.,
StringIO,,Read and write strings as if they were files.,
Tix,,Tk Extension Widgets for Tkinter,
Tkinter,,Interface to Tcl/Tk for graphical user interfaces,
UserDict,,Class wrapper for dictionary objects.,
UserList,,Class wrapper for list objects.,
UserString,,Class wrapper for string objects.,
W,Mac,"Widgets for the Mac, built on top of FrameWork.",1
__builtin__,,The module that provides the built-in namespace.,
__future__,,Future statement definitions,
__main__,,The environment where the top-level script is run.,
_winreg,Windows,Routines and objects for manipulating the Windows registry.,
abc,,Abstract base classes according to PEP 3119.,
aepack,Mac,Conversion between Python variables and AppleEvent data containers.,1
aetools,Mac,Basic support for sending Apple Events,1
aetypes,Mac,Python representation of the Apple Event Object Model.,1
aifc,,Read and write audio files in AIFF or AIFC format.,
al,IRIX,Audio functions on the SGI.,1
anydbm,,Generic interface to DBM-style database modules.,
applesingle,Mac,Rudimentary decoder for AppleSingle format files.,1
argparse,,Command-line option and argument parsing library.,
array,,Space efficient arrays of uniformly typed numeric values.,
ast,,Abstract Syntax Tree classes and manipulation.,
asynchat,,Support for asynchronous command/response protocols.,
asyncore,,A base class for developing asynchronous socket handling services.,
atexit,,Register and execute cleanup functions.,
audioop,,Manipulate raw audio data.,
autoGIL,Mac,Global Interpreter Lock handling in event loops.,1
base64,,"RFC 3548: Base16, Base32, Base64 Data Encodings",
bdb,,Debugger framework.,
binascii,,Tools for converting between binary and various ASCII-encoded binary representations.,
binhex,,Encode and decode files in binhex4 format.,
bisect,,Array bisection algorithms for binary searching.,
bsddb,,Interface to Berkeley DB database library,
buildtools,Mac,"Helper module for BuildApplet, BuildApplication and macfreeze.",1
bz2,,Interface to compression and decompression routines compatible with bzip2.,
cPickle,,"Faster version of pickle, but not subclassable.",
cProfile,,,
cStringIO,,"Faster version of StringIO, but not subclassable.",
calendar,,"Functions for working with calendars, including some emulation of the Unix cal program.",
cd,IRIX,Interface to the CD-ROM on Silicon Graphics systems.,1
cfmfile,Mac,Code Fragment Resource module.,1
cgi,,Helpers for running Python scripts via the Common Gateway Interface.,
cgitb,,Configurable traceback handler for CGI scripts.,
chunk,,Module to read IFF chunks.,
cmath,,Mathematical functions for complex numbers.,
cmd,,Build line-oriented command interpreters.,
code,,Facilities to implement read-eval-print loops.,
codecs,,Encode and decode data and streams.,
codeop,,Compile (possibly incomplete) Python code.,
collections,,High-performance datatypes,
colorsys,,Conversion functions between RGB and other color systems.,
commands,Unix,Utility functions for running external commands.,1
compileall,,Tools for byte-compiling all Python source files in a directory tree.,
compiler,,Python code compiler written in Python.,1
compiler.ast,,,
compiler.visitor,,,
contextlib,,Utilities for with-statement contexts.,
cookielib,,Classes for automatic handling of HTTP cookies.,
copy,,Shallow and deep copy operations.,
copy_reg,,Register pickle support functions.,
crypt,Unix,The crypt() function used to check Unix passwords.,
csv,,Write and read tabular data to and from delimited files.,
ctypes,,A foreign function library for Python.,
curses,Unix,"An interface to the curses library, providing portable terminal handling.",
curses.ascii,,Constants and set-membership functions for ASCII characters.,
curses.panel,,A panel stack extension that adds depth to  curses windows.,
curses.textpad,,Emacs-like input editing in a curses window.,
datetime,,Basic date and time types.,
dbhash,,DBM-style interface to the BSD database library.,
dbm,Unix,"The standard ""database"" interface, based on ndbm.",
decimal,,Implementation of the General Decimal Arithmetic  Specification.,
difflib,,Helpers for computing differences between objects.,
dircache,,"Return directory listing, with cache mechanism.",1
dis,,Disassembler for Python bytecode.,
distutils,,Support for building and installing Python modules into an existing Python installation.,
distutils.archive_util,,"Utility functions for creating archive files (tarballs, zip files, ...)",
distutils.bcppcompiler,,,
distutils.ccompiler,,Abstract CCompiler class,
distutils.cmd,,This module provides the abstract base class Command. This class is subclassed by the modules in the distutils.command subpackage.,
distutils.command,,This subpackage contains one module for each standard Distutils command.,
distutils.command.bdist,,Build a binary installer for a package,
distutils.command.bdist_dumb,,"Build a ""dumb"" installer - a simple archive of files",
distutils.command.bdist_msi,,Build a binary distribution as a Windows MSI file,
distutils.command.bdist_packager,,Abstract base class for packagers,
distutils.command.bdist_rpm,,Build a binary distribution as a Redhat RPM and SRPM,
distutils.command.bdist_wininst,,Build a Windows installer,
distutils.command.build,,Build all files of a package,
distutils.command.build_clib,,Build any C libraries in a package,
distutils.command.build_ext,,Build any extensions in a package,
distutils.command.build_py,,Build the .py/.pyc files of a package,
distutils.command.build_scripts,,Build the scripts of a package,
distutils.command.check,,Check the metadata of a package,
distutils.command.clean,,Clean a package build area,
distutils.command.config,,Perform package configuration,
distutils.command.install,,Install a package,
distutils.command.install_data,,Install data files from a package,
distutils.command.install_headers,,Install C/C++ header files from a package,
distutils.command.install_lib,,Install library files from a package,
distutils.command.install_scripts,,Install script files from a package,
distutils.command.register,,Register a module with the Python Package Index,
distutils.command.sdist,,Build a source distribution,
distutils.core,,The core Distutils functionality,
distutils.cygwinccompiler,,,
distutils.debug,,Provides the debug flag for distutils,
distutils.dep_util,,Utility functions for simple dependency checking,
distutils.dir_util,,Utility functions for operating on directories and directory trees,
distutils.dist,,"Provides the Distribution class, which represents the module distribution being built/installed/distributed",
distutils.emxccompiler,,OS/2 EMX Compiler support,
distutils.errors,,Provides standard distutils exceptions,
distutils.extension,,"Provides the Extension class, used to describe C/C++ extension modules in setup scripts",
distutils.fancy_getopt,,Additional getopt functionality,
distutils.file_util,,Utility functions for operating on single files,
distutils.filelist,,"The FileList class, used for poking about the file system and building lists of files.",
distutils.log,,"A simple logging mechanism, 282-style",
distutils.msvccompiler,,Microsoft Compiler,
distutils.spawn,,Provides the spawn() function,
distutils.sysconfig,,Low-level access to configuration information of the Python interpreter.,
distutils.text_file,,"provides the TextFile class, a simple interface to text files",
distutils.unixccompiler,,UNIX C Compiler,
distutils.util,,Miscellaneous other utility functions,
distutils.version,,implements classes that represent module version numbers.,
dl,Unix,Call C functions in shared objects.,1
doctest,,Test pieces of code within docstrings.,
dumbdbm,,Portable implementation of the simple DBM interface.,
dummy_thread,,Drop-in replacement for the thread module.,
dummy_threading,,Drop-in replacement for the threading module.,
email,,"Package supporting the parsing, manipulating, and generating email messages, including MIME documents.",
email.charset,,Character Sets,
email.encoders,,Encoders for email message payloads.,
email.errors,,The exception classes used by the email package.,
email.generator,,Generate flat text email messages from a message structure.,
email.header,,Representing non-ASCII headers,
email.iterators,,Iterate over a  message object tree.,
email.message,,The base class representing email messages.,
email.mime,,Build MIME messages.,
email.parser,,Parse flat text email messages to produce a message object structure.,
email.utils,,Miscellaneous email package utilities.,
encodings.idna,,Internationalized Domain Names implementation,
encodings.utf_8_sig,,UTF-8 codec with BOM signature,
ensurepip,,Bootstrapping the ``pip`` installer into an existing Python installation or virtual environment.,
errno,,Standard errno system symbols.,
exceptions,,Standard exception classes.,
fcntl,Unix,The fcntl() and ioctl() system calls.,
filecmp,,Compare files efficiently.,
fileinput,,Loop over standard input or a list of files.,
findertools,Mac,Wrappers around the finder's Apple Events interface.,
fl,IRIX,FORMS library for applications with graphical user interfaces.,1
flp,IRIX,Functions for loading stored FORMS designs.,1
fm,IRIX,Font Manager interface for SGI workstations.,1
fnmatch,,Unix shell style filename pattern matching.,
formatter,,Generic output formatter and device interface.,
fpectl,Unix,Provide control for floating point exception handling.,
fpformat,,General floating point formatting functions.,1
fractions,,Rational numbers.,
ftplib,,FTP protocol client (requires sockets).,
functools,,Higher-order functions and operations on callable objects.,
future_builtins,,,
gc,,Interface to the cycle-detecting garbage collector.,
gdbm,Unix,GNU's reinterpretation of dbm.,
gensuitemodule,Mac,Create a stub package from an OSA dictionary,
getopt,,Portable parser for command line options; support both short and long option names.,
getpass,,Portable reading of passwords and retrieval of the userid.,
gettext,,Multilingual internationalization services.,
gl,IRIX,Functions from the Silicon Graphics Graphics Library.,1
glob,,Unix shell style pathname pattern expansion.,
grp,Unix,The group database (getgrnam() and friends).,
gzip,,Interfaces for gzip compression and decompression using file objects.,
hashlib,,Secure hash and message digest algorithms.,
heapq,,Heap queue algorithm (a.k.a. priority queue).,
hmac,,Keyed-Hashing for Message Authentication (HMAC) implementation for Python.,
hotshot,,"High performance logging profiler, mostly written in C.",
hotshot.stats,,Statistical analysis for Hotshot,
htmlentitydefs,,Definitions of HTML general entities.,
htmllib,,A parser for HTML documents.,1
httplib,,HTTP and HTTPS protocol client (requires sockets).,
ic,Mac,Access to the Mac OS X Internet Config.,1
icopen,Mac,Internet Config replacement for open().,1
imageop,,Manipulate raw image data.,1
imaplib,,IMAP4 protocol client (requires sockets).,
imgfile,IRIX,Support for SGI imglib files.,1
imghdr,,Determine the type of image contained in a file or byte stream.,
imp,,Access the implementation of the import statement.,
importlib,,Convenience wrappers for __import__,
imputil,,Manage and augment the import process.,1
inspect,,Extract information and source code from live objects.,
io,,Core tools for working with streams.,
itertools,,Functions creating iterators for efficient looping.,
jpeg,IRIX,Read and write image files in compressed JPEG format.,1
json,,Encode and decode the JSON format.,
keyword,,Test whether a string is a keyword in Python.,
lib2to3,,the 2to3 library,
linecache,,This module provides random access to individual lines from text files.,
locale,,Internationalization services.,
logging,,Flexible event logging system for applications.,
logging.config,,Configuration of the logging module.,
logging.handlers,,Handlers for the logging module.,
macerrors,Mac,Constant definitions for many Mac OS error codes.,1
macostools,Mac,Convenience routines for file manipulation.,1
macpath,,Mac OS 9 path manipulation functions.,
macresource,Mac,Locate script resources.,1
mailbox,,Manipulate mailboxes in various formats,
mailcap,,Mailcap file handling.,
marshal,,Convert Python objects to streams of bytes and back (with different constraints).,
math,,Mathematical functions (sin() etc.).,
md5,,RSA's MD5 message digest algorithm.,1
mhlib,,Manipulate MH mailboxes from Python.,1
mimetools,,Tools for parsing MIME-style message bodies.,1
mimetypes,,Mapping of filename extensions to MIME types.,
mimify,,Mimification and unmimification of mail messages.,1
mmap,,Interface to memory-mapped files for Unix and Windows.,
modulefinder,,Find modules used by a script.,
msilib,Windows,"Creation of Microsoft Installer files, and CAB files.",
msvcrt,Windows,Miscellaneous useful routines from the MS VC++ runtime.,
multifile,,"Support for reading files which contain distinct parts, such as some MIME data.",1
multiprocessing,,"Process-based ""threading"" interface.",
multiprocessing.connection,,API for dealing with sockets.,
multiprocessing.dummy,,Dumb wrapper around threading.,
multiprocessing.managers,,Share data between process with shared objects.,
multiprocessing.pool,,Create pools of processes.,
multiprocessing.sharedctypes,,Allocate ctypes objects from shared memory.,
mutex,,Lock and queue for mutual exclusion.,1
netrc,,Loading of .netrc files.,
new,,Interface to the creation of runtime implementation objects.,1
nis,Unix,Interface to Sun's NIS (Yellow Pages) library.,
nntplib,,NNTP protocol client (requires sockets).,
numbers,,"Numeric abstract base classes (Complex, Real, Integral, etc.).",
operator,,Functions corresponding to the standard operators.,
optparse,,Command-line option parsing library.,1
os,,Miscellaneous operating system interfaces.,
os.path,,Operations on pathnames.,
ossaudiodev,"Linux, FreeBSD",Access to OSS-compatible audio devices.,
parser,,Access parse trees for Python source code.,
pdb,,The Python debugger for interactive interpreters.,
pickle,,Convert Python objects to streams of bytes and back.,
pickletools,,"Contains extensive comments about the pickle protocols and pickle-machine opcodes, as well as some useful functions.",
pipes,Unix,A Python interface to Unix shell pipelines.,
pkgutil,,Utilities for the import system.,
platform,,Retrieves as much platform identifying data as possible.,
plistlib,,Generate and parse Mac OS X plist files.,
popen2,,Subprocesses with accessible standard I/O streams.,1
poplib,,POP3 protocol client (requires sockets).,
posix,Unix,The most common POSIX system calls (normally used via module os).,
posixfile,Unix,A file-like object with support for locking.,1
pprint,,Data pretty printer.,
profile,,Python source profiler.,
pstats,,Statistics object for use with the profiler.,
pty,Linux,Pseudo-Terminal Handling for Linux.,
pwd,Unix,The password database (getpwnam() and friends).,
py_compile,,Generate byte-code files from Python source files.,
pyclbr,,Supports information extraction for a Python class browser.,
pydoc,,Documentation generator and online help system.,
quopri,,Encode and decode files using the MIME quoted-printable encoding.,
random,,Generate pseudo-random numbers with various common distributions.,
re,,Regular expression operations.,
readline,Unix,GNU readline support for Python.,
resource,Unix,An interface to provide resource usage information on the current process.,
rexec,,Basic restricted execution framework.,1
rfc822,,Parse 2822 style mail messages.,1
rlcompleter,,"Python identifier completion, suitable for the GNU readline library.",
robotparser,,Loads a robots.txt file and answers questions about fetchability of other URLs.,
runpy,,Locate and run Python modules without importing them first.,
sched,,General purpose event scheduler.,
select,,Wait for I/O completion on multiple streams.,
sets,,Implementation of sets of unique elements.,1
sgmllib,,Only as much of an SGML parser as needed to parse HTML.,1
sha,,"NIST's secure hash algorithm, SHA.",1
shelve,,Python object persistence.,
shlex,,Simple lexical analysis for Unix shell-like languages.,
shutil,,"High-level file operations, including copying.",
signal,,Set handlers for asynchronous events.,
site,,Module responsible for site-specific configuration.,
smtpd,,A SMTP server implementation in Python.,
smtplib,,SMTP protocol client (requires sockets).,
sndhdr,,Determine type of a sound file.,
socket,,Low-level networking interface.,
spwd,Unix,The shadow password database (getspnam() and friends).,
sqlite3,,A DB-API 2.0 implementation using SQLite 3.x.,
ssl,,TLS/SSL wrapper for socket objects,
stat,,"Utilities for interpreting the results of os.stat(), os.lstat() and os.fstat().",
statvfs,,Constants for interpreting the result of os.statvfs().,1
string,,Common string operations.,
stringprep,,"String preparation, as per RFC 3453",
struct,,Interpret strings as packed binary data.,
subprocess,,Subprocess management.,
sunau,,Provide an interface to the Sun AU sound format.,
sunaudiodev,SunOS,Access to Sun audio hardware.,1
symbol,,Constants representing internal nodes of the parse tree.,
symtable,,Interface to the compiler's internal symbol tables.,
sys,,Access system-specific parameters and functions.,
sysconfig,,Python's configuration information,
syslog,Unix,An interface to the Unix syslog library routines.,
tabnanny,,Tool for detecting white space related problems in Python source files in a directory tree.,
tarfile,,Read and write tar-format archive files.,
telnetlib,,Telnet client class.,
tempfile,,Generate temporary files and directories.,
termios,Unix,POSIX style tty control.,
test,,Regression tests package containing the testing suite for Python.,
test.test_support,,Support for Python regression tests.,
textwrap,,Text wrapping and filling,
thread,,Create multiple threads of control within one interpreter.,
threading,,Higher-level threading interface.,
time,,Time access and conversions.,
timeit,,Measure the execution time of small code snippets.,
token,,Constants representing terminal nodes of the parse tree.,
tokenize,,Lexical scanner for Python source code.,
trace,,Trace or track Python statement execution.,
traceback,,Print or retrieve a stack traceback.,
ttk,,Tk themed widget set,
tty,Unix,Utility functions that perform common terminal control operations.,
turtle,,Turtle graphics for Tk,
types,,Names for built-in types.,
unicodedata,,Access the Unicode Database.,
unittest,,Unit testing framework for Python.,
urllib,,Open an arbitrary network resource by URL (requires sockets).,
urllib2,,Next generation URL opening library.,
urlparse,,Parse URLs into or assemble them from components.,
user,,A standard way to reference user-specific modules.,1
uu,,Encode and decode files in uuencode format.,
uuid,,UUID objects (universally unique identifiers) according to RFC 4122,
videoreader,Mac,Read QuickTime movies frame by frame for further processing.,1
warnings,,Issue warning messages and control their disposition.,
wave,,Provide an interface to the WAV sound format.,
weakref,,Support for weak references and weak dictionaries.,
webbrowser,,Easy-to-use controller for Web browsers.,
whichdb,,Guess which DBM-style module created a given database.,
winsound,Windows,Access to the sound-playing machinery for Windows.,
wsgiref,,WSGI Utilities and Reference Implementation.,
wsgiref.handlers,,WSGI server/gateway base classes.,
wsgiref.headers,,WSGI response header tools.,
wsgiref.simple_server,,A simple WSGI HTTP server.,
wsgiref.util,,WSGI environment utilities.,
wsgiref.validate,,WSGI conformance checker.,
xdrlib,,Encoders and decoders for the External Data Representation (XDR).,
xml,,Package containing XML processing modules,
xml.dom,,Document Object Model API for Python.,
xml.dom.minidom,,Minimal Document Object Model (DOM) implementation.,
xml.dom.pulldom,,Support for building partial DOM trees from SAX events.,
xml.etree.ElementTree,,Implementation of the ElementTree API.,
xml.parsers.expat,,An interface to the Expat non-validating XML parser.,
xml.sax,,Package containing SAX2 base classes and convenience functions.,
xml.sax.handler,,Base classes for SAX event handlers.,
xml.sax.saxutils,,Convenience functions and classes for use with SAX.,
xml.sax.xmlreader,,Interface which SAX-compliant XML parsers must implement.,
xmlrpclib,,XML-RPC client access.,
zipfile,,Read and write ZIP-format archive files.,
zipimport,,support for importing Python modules from ZIP archives.,
zlib,,Low-level interface to compression and decompression routines compatible with gzip.,
